Layers,Protocols,Count,Port,Alternate
Application,http,0,80,
Application,https,0,443,
Application,ftp,0,21,20
Application,smtp,0,25,
Application,imap,0,143,220
Application,imaps,0,993,
Application,tcap,0,,
Application,tup,0,,
Application,snmp,0,161,
Application,telnet,0,23,992
Application,irc,0,194,
Application,ntp,0,123,
Application,ssh,0,22,
Application,isup,0,,
Application,dhcp,0,67,68
Application,sap,0,3601,
Application,dns,0,53,
Application,mdns,0,5353,
Application,bootp,0,67,68
Application,appc,0,,
Presentation,mime,0,1360,
Presentation,ssl,0,,
Presentation,tls,0,,
Presentation,xdr,0,,
Presentation,afp,0,548,
Session,rtp,0,5004,5005
Session,pptp,0,1723,
Session,asp,0,5000,
Session,adsp,0,,
Session,pap,0,,
Session,nwlink,0,,
Transport,llmnr,0,5355,
Transport,nbns,0,137,
Transport,tcp,0,,
Transport,udp,0,,
Transport,sctp,0,9899,
Transport,quic,0,,
Transport,dccp,0,,
Transport,ddp,0,,
Transport,spx,0,,
Network,ip,0,,
Network,ipsec,0,1293,
Network,icmp,0,,
Network,igmp,0,,
Network,ospf,0,,
Network,rip,0,520,
Network,sccp,0,2000,
Network,mtp,0,,
Network,atp,0,,
Network,ipx,0,213,
Network,ncp,0,524,
Network,rrc,0,,
Network,bmc,0,7005,7006
Data Link,eth,0,,
Data Link,sbtv,0,,
Data Link,slip,0,,
Data Link,ppp,0,,
Data Link,mtp,0,,
Data Link,ara,0,,
Data Link,sdlc,0,,
Data Link,mac,0,,
Data Link,pdcp,0,,
Data Link,llc,0,,
Data Link,mac,0,,
